1429 N Claiborne Ave Apt G,1429 N Claiborne Ave Apt G,Short Term Rental Commercial Owner,1,2,11/15/2023 11:59:59 PM,"(29.970292536702, -90.0686073752641)",3681270.55,536898.81
3424 Bienville Ave,3424 Bienville Ave,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9721493499041, -90.0934229570652)",3673406.45,537488.15
4221 Prytania St 2A,4221 Prytania St 2A,Short Term Rental Residential Owner,2,4,05/10/2023 11:59:59 PM,"(29.9252826602672, -90.1002624266296)",3671424.46,520422.29
4720 Laurel St,4720 Laurel St,Short Term Rental Residential Owner,2,4,05/12/2023 11:59:59 PM,"(29.918338314667, -90.1053754430927)",3669831.97,517879.68
828 Girod St Apt 504,828 Girod St Apt 504,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9476920583311, -90.0733334294844)",3679864.62,528663.95
828 Girod St Apt 306,828 Girod St Apt 306,Short Term Rental Commercial Owner,2,4,05/12/2023 11:59:59 PM,"(29.947665321018, -90.0733843546208)",3679848.6,528654.05
3525 Marigny St,3525 Marigny St,Short Term Rental Residential Owner,2,4,05/09/2023 11:59:59 PM,"(29.9945915120626, -90.0573394305239)",3684739.66,545774.39
3015 Jefferson Ave,3015 Jefferson Ave,Short Term Rental Residential Owner,1,2,05/08/2023 11:59:59 PM,"(29.9419475757181, -90.1091848941281)",3668533.52,526451.97
413 Opelousas Ave Apt 202,413 Opelousas Ave Apt 202,Short Term Rental Residential Owner,2,4,05/08/2023 11:59:59 PM,"(29.9484257453455, -90.0519048666346)",3686647.6,529006
4221 Prytania St 1B,4221 Prytania St 1B,Short Term Rental Residential Owner,2,4,05/10/2023 11:59:59 PM,"(29.9252826602672, -90.1002624266296)",3671424.46,520422.29
823 Poland Ave,823 Poland Ave,Short Term Rental Residential Owner,2,4,05/31/2023 11:59:59 PM,"(29.9620458128973, -90.0321144051898)",3692858.51,534029.37
3930 Burgundy St,3930 Burgundy St,Short Term Rental Commercial Owner,5,10,11/13/2023 11:59:59 PM,"(29.9634608280821, -90.0366892025925)",3691404.16,534527.5
828 Girod St Apt 405,828 Girod St Apt 405,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9476779886724, -90.0733603534833)",3679856.15,528658.74
3042 St Claude Ave B,3042 St Claude Ave B,Short Term Rental Commercial Owner,2,4,04/04/2023 11:59:59 PM,"(29.9675748910944, -90.0450032547841)",3688754.88,535993.83
4624 Orleans Ave,4624 Orleans Ave,Short Term Rental Residential Owner,3,6,05/12/2023 11:59:59 PM,"(29.9834496111393, -90.1021014449703)",3670614.67,541567.74
339 Carondelet St Apt 3D,339 Carondelet St Apt 3D,Short Term Rental Commercial Owner,1,2,10/11/2023 11:59:59 PM,"(29.9510922469741, -90.0716785218728)",3680375.08,529906.15
2529 Burgundy St Apt B,2529 Burgundy St Apt B,Short Term Rental Residential Owner,2,4,05/08/2023 11:59:59 PM,"(29.9671623891482, -90.051189408768)",3686797.93,535821.86
2709 Magnolia St,2709 Magnolia St,Short Term Rental Residential Owner,3,6,05/12/2023 11:59:59 PM,"(29.9405484665825, -90.0922867678635)",3673890.63,526000.77
1812 Carondelet St Unit 1,1812 Carondelet St Unit 1,Short Term Rental Commercial Owner,3,6,01/03/2024 11:59:59 PM,"(29.936869242871, -90.0788701951062)",3678154.33,524709.14
1539 N Prieur St,1539 N Prieur St,Short Term Rental Residential Owner,3,6,05/11/2023 11:59:59 PM,"(29.9736799789871, -90.0693607449079)",3681018.44,538127.98
828 Girod St Apt 606,828 Girod St Apt 606,Short Term Rental Commercial Owner,2,4,05/12/2023 11:59:59 PM,"(29.9476536297664, -90.0733293991008)",3679866.05,528649.99
647 S Tonti St,647 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9582968222826, -90.0885996425517)",3674988.24,532467.4
3468 Esplanade Ave,3468 Esplanade Ave,Short Term Rental Residential Owner,3,6,01/04/2024 11:59:59 PM,"(29.9827992725548, -90.0884137419672)",3674950.3,541378.07
3711 Ulloa St,3711 Ulloa St,Short Term Rental Commercial Owner,3,6,01/15/2023 11:59:59 PM,"(29.9671043985957, -90.1015408228297)",3670856.04,535625.89
2637 St Ann St,2637 St Ann St,Short Term Rental Residential Owner,2,4,05/12/2023 11:59:59 PM,"(29.9710112963906, -90.0816543821194)",3677136.92,537114.82
2013 Sixth St,2013 Sixth St,Short Term Rental Residential Owner,2,4,01/03/2024 11:59:59 PM,"(29.9338510463924, -90.0899311079616)",3674663.1,523573.43
