Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
1412 Jena St,1412 Jena St,Short Term Rental Residential Owner,2,4,09/28/2023 09:28:42 PM,"(29.9251855992938, -90.1034246572174)",3670423.2,520376.23
931 Touro St,931 Touro St,Short Term Rental Residential Owner,3,6,01/11/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3684295.51,535783.16
719 France St,719 France St,Short Term Rental Residential Owner,2,4,02/15/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3692081.83,533812.47
1218 Joliet St,1218 Joliet St,Short Term Rental Residential Owner,2,4,02/13/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3660990.06,529482.76
1724 Louisiana Ave Apt 1A,1724 Louisiana Ave Apt 1A,Short Term Rental Commercial Owner,3,6,03/22/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3673894.94,522097.19
1604 Pauger St Apt A,1604 Pauger St Apt A,Short Term Rental Residential Owner,1,2,05/31/2023 11:59:59 PM,"(29.9665139122303, -90.0604015953193)",3683883.82,535553.53
3419 N Roman St,3419 N Roman St,Short Term Rental Residential Owner,3,6,09/26/2023 08:49:39 AM,"(29.9739367215149, -90.0379197430371)",3690971.47,538332.51
1637 Third St,1637 Third St,Short Term Rental Residential Owner,1,2,09/26/2023 03:19:26 PM,"(29.9327382489848, -90.084860240103)",3676273.57,523186.24
4835 Perrier St,4835 Perrier St,Short Term Rental Commercial Owner,2,4,10/05/2023 11:59:59 PM,"(29.9239920220872, -90.1073078129333)",3669197.85,519929.02
3021 Perdido St,3021 Perdido St,Short Term Rental Commercial Owner,4,8,10/04/2023 11:59:59 PM,"(29.9617485969617, -90.0966485850062)",3672426.03,533695
718 First St,718 First St,Short Term Rental Residential Owner,1,2,09/30/2023 04:42:55 AM,"(29.9250374242529, -90.077174077427)",3678738.68,520412.55
1617 Arts St,1617 Arts St,Short Term Rental Residential Owner,2,4,05/02/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3687083.91,538480.01
4842 Lonely Oak Dr,4842 Lonely Oak Dr,Short Term Rental Residential Owner,2,4,09/26/2023 07:44:12 AM,"(30.0191722886418, -90.0018089608898)",3702212.77,554912.87
639 S Tonti St,639 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9584267562347, -90.0884801293775)",3675025.57,532515.06
2424 Dauphine St Apt C,2424 Dauphine St Apt C,Short Term Rental Residential Owner,3,6,09/26/2023 01:38:08 PM,"(29.9656603030368, -90.053417282753)",3686098.65,535267.76
2924 St Bernard Ave,2924 St Bernard Ave,Short Term Rental Commercial Owner,4,8,08/03/2023 11:59:59 PM,"(29.9866862216343, -90.0740679473453)",3679476.18,542841.14
635 S Tonti St,635 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9584777626975, -90.0884417219926)",3675037.53,532533.74
QUALITY INN,10020 I-10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
1635 Third St,1635 Third St,Short Term Rental Residential Owner,3,6,09/26/2023 03:19:24 PM,"(29.9327040792968, -90.0848384086059)",3676280.62,523173.89
1029 Philip St,1029 Philip St,Short Term Rental Commercial Owner,4,8,10/11/2023 11:59:59 PM,"(29.9287184836197, -90.0773857520082)",3678656.96,521750.38
1206 Magazine St,1206 Magazine St,Short Term Rental Commercial Owner,2,4,11/15/2023 11:59:59 PM,"(29.9390105087043, -90.0709530046109)",3680653.23,525515.32
2101 Josephine St,2101 Josephine St,Short Term Rental Residential Owner,3,6,06/06/2023 11:59:59 PM,"(29.9390459458805, -90.0832178314099)",3676768.74,525485.62
1300 Socrates St,1300 Socrates St,Short Term Rental Residential Owner,3,6,07/31/2023 11:59:59 PM,"(29.9412293969983, -90.0432492047549)",3689418.1,526419.91
1810 Oretha Castle Haley Blvd,1810 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,03/15/2023 11:59:59 PM,"(29.938697391877, -90.0808102249235)",3677532.63,525367.2
4849 Tchoupitoulas St,4849 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,03/24/2023 11:59:59 PM,"(29.9167424256402, -90.1071431769029)",3669278.21,517293.36
833 Baronne St Apt 4A,833 Baronne St Apt 4A,Short Term Rental Commercial Owner,,,10/10/2023 11:59:59 PM,"(29.9457758507935, -90.0747547549417)",3679422.17,527962.2
3026 Napoleon Ave,3026 Napoleon Ave,Short Term Rental Residential Owner,2,4,08/02/2023 11:59:59 PM,"(29.9410719890831, -90.1038509996286)",3670226.17,526151.66
4813 Julia St,4813 Julia St,Short Term Rental Commercial Owner,3,6,03/21/2023 11:59:59 PM,"(29.9764028434338, -90.1113335966288)",3667719.41,538973.97
8122 Jeannette St,8122 Jeannette St,Short Term Rental Commercial Owner,1,2,03/24/2023 11:59:59 PM,"(29.9497652996354, -90.1280615241081)",3662525.42,529231.42
1930 St Claude Ave,1930 St Claude Ave,Short Term Rental Commercial Owner,2,4,01/05/2024 11:59:59 PM,"(29.9681168861119, -90.0595662692398)",3684141.82,536139.37
1824 Carondelet St Apt 301,1824 Carondelet St Apt 301,Short Term Rental Commercial Owner,5,10,01/04/2024 11:59:59 PM,"(29.936734996476, -90.0789864655604)",3678118.04,524659.92
1416 Carondelet St Unit B,1416 Carondelet St Unit B,Short Term Rental Commercial Owner,2,4,10/05/2023 11:59:59 PM,"(29.9400437303138, -90.0763258633901)",3678947.49,525872.33
"1533 Robert C Blakes, SR Dr","1533 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3,6,01/03/2024 11:59:59 PM,"(29.939210229342, -90.0773534574061)",3678625.37,525565.67
1224 St Anthony St,1224 St Anthony St,Short Term Rental Residential Owner,2,1,01/03/2024 11:59:59 PM,"(29.9688118534971, -90.0616950011929)",3683465.03,536384.6
924 Elysian Fields Ave Unit D,924 Elysian Fields Ave Unit D,Short Term Rental Commercial Owner,1,2,10/11/2023 11:59:59 PM,"(29.9671244420776, -90.0572472559387)",3684880.07,535786.65
619 Franklin Ave,619 Franklin Ave,Short Term Rental Residential Owner,1,2,08/01/2023 11:59:59 PM,"(29.9642917017974, -90.0514300421748)",3686733.42,534777.12
1716 Philip St,1716 Philip St,Short Term Rental Residential Owner,1,2,01/02/2024 11:59:59 PM,"(29.9343344429779, -90.0831037307246)",3676823.57,523772.74
836 Pine St,836 Pine St,Short Term Rental Residential Owner,4,8,02/01/2024 11:59:59 PM,"(29.9401834781285, -90.1258487344806)",3663262.87,525754.48
625 S Tonti St,625 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9586147368508, -90.088319341405)",3675075.74,532583.97
1604 Prytania St,1604 Prytania St,Short Term Rental Commercial Owner,5,10,03/21/2023 11:59:59 PM,"(29.9372910692434, -90.0747617942331)",3679453.83,524876.8
2036 Magazine St Apt 1,2036 Magazine St Apt 1,Short Term Rental Commercial Owner,1,2,03/20/2023 11:59:59 PM,"(29.930427931871, -90.0752953725142)",3679312.24,522379.26
2004 Carondelet St,2004 Carondelet St,Short Term Rental Residential Owner,2,4,08/02/2023 11:59:59 PM,"(29.9361881474987, -90.0798104444628)",3677859.25,524458.21
838 Valence St,838 Valence St,Short Term Rental Commercial Owner,1,2,08/04/2023 11:59:59 PM,"(29.9203668268692, -90.1051341769041)",3669900.49,518618.14
1802 Oretha Castle Haley Blvd,1802 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,2,4,08/03/2023 11:59:59 PM,"(29.9388496615006, -90.0807093580153)",3677563.97,525422.92
1027 Delachaise St,1027 Delachaise St,Short Term Rental Commercial Owner,2,4,08/04/2023 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3674767.44,519359.77
1124 St Charles Ave Apt 2B,1124 St Charles Ave Apt 2B,Short Term Rental Commercial Owner,1,2,07/22/2023 11:59:59 PM,"(29.941553355964, -90.0732799291885)",3679906.11,526431.88
3917 Elysian Fields Ave,3917 Elysian Fields Ave,Short Term Rental Residential Owner,2,4,01/16/2024 03:19:00 PM,"(29.9983460195327, -90.0587087901549)",3684291.03,547134.85
2037 Independence St,2037 Independence St,Short Term Rental Residential Owner,2,4,01/03/2024 11:59:59 PM,"(29.9762493346283, -90.0349284095692)",3691908.98,539184.18
1309 St Anthony St,1309 St Anthony St,Short Term Rental Residential Owner,1,2,07/28/2023 11:59:59 PM,"(29.9695456048789, -90.0615639211484)",3683503.57,536651.88
7322 Hickory St,7322 Hickory St,Short Term Rental Residential Owner,1,2,07/31/2023 11:59:59 PM,"(29.9476032003921, -90.1205877466746)",3664900.49,528470.17
7445 Dominican St,7445 Dominican St,Short Term Rental Residential Owner,3,6,03/01/2023 12:00:00 AM,"(29.9376340327424, -90.1303348862722)",3661851.82,524812.46
"1523 Robert C Blakes, SR Dr A","1523 Robert C Blakes, SR Dr A",Short Term Rental Commercial Owner,2,4,01/03/2024 11:59:59 PM,"(29.9393764471433, -90.0772246546014)",3678665.5,525626.56
4853 Tchoupitoulas St,4853 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,03/24/2023 11:59:59 PM,"(29.9167336138687, -90.1072363155933)",3669248.74,517289.84
1018 Third St,1018 Third St,Short Term Rental Residential Owner,2,4,07/31/2023 11:59:59 PM,"(29.9265628642372, -90.0806012997907)",3677647.04,520955.37
2427 Iberville St,2427 Iberville St,Short Term Rental Residential Owner,2,4,07/31/2023 11:59:59 PM,"(29.9647071287253, -90.0837190697134)",3676508.23,534815.25
5444 Durham Dr,5444 Durham Dr,Short Term Rental Residential Owner,5,10,05/16/2023 11:59:59 PM,"(29.920072176059, -89.9966939616468)",3704251.78,518895.44
22 Fontainebleau Dr B,22 Fontainebleau Dr B,Short Term Rental Residential Owner,3,6,01/03/2024 11:59:59 PM,"(29.956189905906, -90.1175887313706)",3665817.09,531602.69
6112 Chestnut St,6112 Chestnut St,Short Term Rental Residential Owner,3,6,01/04/2024 11:59:59 PM,"(29.9244832572604, -90.1230919673597)",3664196.25,520054.5
2048 Florida Ave,2048 Florida Ave,Short Term Rental Residential Owner,2,4,08/18/2023 11:59:59 PM,"(29.9861617021688, -90.0616040310795)",3683423.81,542693.98
1829 Pauline St,1829 Pauline St,Short Term Rental Residential Owner,2,4,08/01/2023 11:59:59 PM,"(29.9738228497284, -90.0347754014366)",3691967.42,538302.37
643 S Tonti St,643 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9583625598951, -90.0885457662594)",3675005.04,532491.49
11424 Maxine Dr,11424 Maxine Dr,Short Term Rental Residential Owner,4,8,01/03/2024 11:59:59 PM,"(30.034527843951, -89.9494355660831)",3718718.83,560693.09
113 S Salcedo St,113 S Salcedo St,Short Term Rental Residential Owner,1,2,08/02/2023 11:59:59 PM,"(29.9679277329307, -90.0917975505273)",3673937.69,535958.58
1324 Franklin Ave,1324 Franklin Ave,Short Term Rental Commercial Owner,2,4,10/12/2023 11:59:59 PM,"(29.9714859874128, -90.0497140180421)",3687247.45,537399.31
1324 Clouet St,1324 Clouet St,Short Term Rental Residential Owner,2,4,08/30/2023 02:31:01 PM,"(29.9701288262259, -90.0435586485958)",3689201.81,536927.68
4025 Pitt St,4025 Pitt St,Short Term Rental Residential Owner,1,2,10/18/2023 01:11:27 PM,"(29.926099690717, -90.0981144822989)",3672101.62,520726.72
6221 Magazine St,6221 Magazine St,Short Term Rental Residential Owner,2,4,01/16/2023 04:56:00 PM,"(29.9235318310612, -90.1249244266097)",3663619.46,519702.4
1104 Music St,1104 Music St,Short Term Rental Commercial Owner,5,10,11/24/2023 11:59:59 PM,"(29.9693531951858, -90.0511408496887)",3686804.39,536618.69
5644 Vermillion Blvd,5644 Vermillion Blvd,Short Term Rental Residential Owner,4,8,01/19/2023 11:50:04 AM,"(30.0162919931327, -90.0622848639933)",3683086.75,553648.14
1806 Oretha Castle Haley Blvd,1806 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,03/15/2023 11:59:59 PM,"(29.9387652695717, -90.0807590426233)",3677548.57,525392.06
620 N Pierce St,620 N Pierce St,Short Term Rental Commercial Owner,3,4,08/04/2023 11:59:59 PM,"(29.9779385551837, -90.095514601558)",3672721.49,539586.17
2009 Elysian Fields Ave,2009 Elysian Fields Ave,Short Term Rental Residential Owner,2,4,10/09/2023 10:59:09 AM,"(29.9779717900254, -90.0572560413245)",3684833.36,539731.12
833 Baronne St Apt 3A,833 Baronne St Apt 3A,Short Term Rental Commercial Owner,4,8,10/10/2023 11:59:59 PM,"(29.9457580045404, -90.0746858892747)",3679444.05,527955.95
1006 Race St,1006 Race St,Short Term Rental Commercial Owner,5,10,08/17/2023 11:59:59 PM,"(29.9341057406729, -90.0715577293161)",3680481.35,523729.66
2021 Seventh St,2021 Seventh St,Short Term Rental Residential Owner,2,4,01/02/2024 11:59:59 PM,"(29.9335370928672, -90.0908290464855)",3674379.94,523456.18
