Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
1412 Jena St,1412 Jena St,Short Term Rental Residential Owner,2,4,09/28/2023 09:28:42 PM,"(29.9251855992938, -90.1034246572174)",3670423.2,520376.23
931 Touro St,931 Touro St,Short Term Rental Residential Owner,3,6,01/11/2023 11:59:59 PM,"(29.9671327332648, -90.0590934207344)",3684295.51,535783.16
719 France St,719 France St,Short Term Rental Residential Owner,2,4,02/15/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3692081.83,533812.47
1218 Joliet St,1218 Joliet St,Short Term Rental Residential Owner,2,4,02/13/2023 11:59:59 PM,"(29.950500721834, -90.1329010717728)",3660990.06,529482.76
1724 Louisiana Ave Apt 1A,1724 Louisiana Ave Apt 1A,Short Term Rental Commercial Owner,3,6,03/22/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3673894.94,522097.19
1604 Pauger St Apt A,1604 Pauger St Apt A,Short Term Rental Residential Owner,1,2,05/31/2023 11:59:59 PM,"(29.9665139122303, -90.0604015953193)",3683883.82,535553.53
3419 N Roman St,3419 N Roman St,Short Term Rental Residential Owner,3,6,09/26/2023 08:49:39 AM,"(29.9739367215149, -90.0379197430371)",3690971.47,538332.51
1637 Third St,1637 Third St,Short Term Rental Residential Owner,1,2,09/26/2023 03:19:26 PM,"(29.9327382489848, -90.084860240103)",3676273.57,523186.24
4835 Perrier St,4835 Perrier St,Short Term Rental Commercial Owner,2,4,10/05/2023 11:59:59 PM,"(29.9239920220872, -90.1073078129333)",3669197.85,519929.02
3021 Perdido St,3021 Perdido St,Short Term Rental Commercial Owner,4,8,10/04/2023 11:59:59 PM,"(29.9617485969617, -90.0966485850062)",3672426.03,533695
718 First St,718 First St,Short Term Rental Residential Owner,1,2,09/30/2023 04:42:55 AM,"(29.9250374242529, -90.077174077427)",3678738.68,520412.55
1617 Arts St,1617 Arts St,Short Term Rental Residential Owner,2,4,05/02/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3687083.91,538480.01
4842 Lonely Oak Dr,4842 Lonely Oak Dr,Short Term Rental Residential Owner,2,4,09/26/2023 07:44:12 AM,"(30.0191722886418, -90.0018089608898)",3702212.77,554912.87
639 S Tonti St,639 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9584267562347, -90.0884801293775)",3675025.57,532515.06
2424 Dauphine St Apt C,2424 Dauphine St Apt C,Short Term Rental Residential Owner,3,6,09/26/2023 01:38:08 PM,"(29.9656603030368, -90.053417282753)",3686098.65,535267.76
2924 St Bernard Ave,2924 St Bernard Ave,Short Term Rental Commercial Owner,4,8,08/03/2023 11:59:59 PM,"(29.9866862216343, -90.0740679473453)",3679476.18,542841.14
635 S Tonti St,635 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9584777626975, -90.0884417219926)",3675037.53,532533.74
QUALITY INN,10020 I-10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
1635 Third St,1635 Third St,Short Term Rental Residential Owner,3,6,09/26/2023 03:19:24 PM,"(29.9327040792968, -90.0848384086059)",3676280.62,523173.89
1029 Philip St,1029 Philip St,Short Term Rental Commercial Owner,4,8,10/11/2023 11:59:59 PM,"(29.9287184836197, -90.0773857520082)",3678656.96,521750.38
1206 Magazine St,1206 Magazine St,Short Term Rental Commercial Owner,2,4,11/15/2023 11:59:59 PM,"(29.9390105087043, -90.0709530046109)",3680653.23,525515.32
2101 Josephine St,2101 Josephine St,Short Term Rental Residential Owner,3,6,06/06/2023 11:59:59 PM,"(29.9390459458805, -90.0832178314099)",3676768.74,525485.62
1300 Socrates St,1300 Socrates St,Short Term Rental Residential Owner,3,6,07/31/2023 11:59:59 PM,"(29.9412293969983, -90.0432492047549)",3689418.1,526419.91
1810 Oretha Castle Haley Blvd,1810 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,03/15/2023 11:59:59 PM,"(29.938697391877, -90.0808102249235)",3677532.63,525367.2
4849 Tchoupitoulas St,4849 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,03/24/2023 11:59:59 PM,"(29.9167424256402, -90.1071431769029)",3669278.21,517293.36
833 Baronne St Apt 4A,833 Baronne St Apt 4A,Short Term Rental Commercial Owner,,,10/10/2023 11:59:59 PM,"(29.9457758507935, -90.0747547549417)",3679422.17,527962.2
3026 Napoleon Ave,3026 Napoleon Ave,Short Term Rental Residential Owner,2,4,08/02/2023 11:59:59 PM,"(29.9410719890831, -90.1038509996286)",3670226.17,526151.66
4813 Julia St,4813 Julia St,Short Term Rental Commercial Owner,3,6,03/21/2023 11:59:59 PM,"(29.9764028434338, -90.1113335966288)",3667719.41,538973.97
8122 Jeannette St,8122 Jeannette St,Short Term Rental Commercial Owner,1,2,03/24/2023 11:59:59 PM,"(29.9497652996354, -90.1280615241081)",3662525.42,529231.42
1930 St Claude Ave,1930 St Claude Ave,Short Term Rental Commercial Owner,2,4,01/05/2024 11:59:59 PM,"(29.9681168861119, -90.0595662692398)",3684141.82,536139.37
1824 Carondelet St Apt 301,1824 Carondelet St Apt 301,Short Term Rental Commercial Owner,5,10,01/04/2024 11:59:59 PM,"(29.936734996476, -90.0789864655604)",3678118.04,524659.92
1416 Carondelet St Unit B,1416 Carondelet St Unit B,Short Term Rental Commercial Owner,2,4,10/05/2023 11:59:59 PM,"(29.9400437303138, -90.0763258633901)",3678947.49,525872.33
"1533 Robert C Blakes, SR Dr","1533 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3,6,01/03/2024 11:59:59 PM,"(29.939210229342, -90.0773534574061)",3678625.37,525565.67
1224 St Anthony St,1224 St Anthony St,Short Term Rental Residential Owner,2,1,01/03/2024 11:59:59 PM,"(29.9688118534971, -90.0616950011929)",3683465.03,536384.6
924 Elysian Fields Ave Unit D,924 Elysian Fields Ave Unit D,Short Term Rental Commercial Owner,1,2,10/11/2023 11:59:59 PM,"(29.9671244420776, -90.0572472559387)",3684880.07,535786.65
619 Franklin Ave,619 Franklin Ave,Short Term Rental Residential Owner,1,2,08/01/2023 11:59:59 PM,"(29.9642917017974, -90.0514300421748)",3686733.42,534777.12
1716 Philip St,1716 Philip St,Short Term Rental Residential Owner,1,2,01/02/2024 11:59:59 PM,"(29.9343344429779, -90.0831037307246)",3676823.57,523772.74
836 Pine St,836 Pine St,Short Term Rental Residential Owner,4,8,02/01/2024 11:59:59 PM,"(29.9401834781285, -90.1258487344806)",3663262.87,525754.48
625 S Tonti St,625 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9586147368508, -90.088319341405)",3675075.74,532583.97
1604 Prytania St,1604 Prytania St,Short Term Rental Commercial Owner,5,10,03/21/2023 11:59:59 PM,"(29.9372910692434, -90.0747617942331)",3679453.83,524876.8
2036 Magazine St Apt 1,2036 Magazine St Apt 1,Short Term Rental Commercial Owner,1,2,03/20/2023 11:59:59 PM,"(29.930427931871, -90.0752953725142)",3679312.24,522379.26
2004 Carondelet St,2004 Carondelet St,Short Term Rental Residential Owner,2,4,08/02/2023 11:59:59 PM,"(29.9361881474987, -90.0798104444628)",3677859.25,524458.21
838 Valence St,838 Valence St,Short Term Rental Commercial Owner,1,2,08/04/2023 11:59:59 PM,"(29.9203668268692, -90.1051341769041)",3669900.49,518618.14
1802 Oretha Castle Haley Blvd,1802 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,2,4,08/03/2023 11:59:59 PM,"(29.9388496615006, -90.0807093580153)",3677563.97,525422.92
1027 Delachaise St,1027 Delachaise St,Short Term Rental Commercial Owner,2,4,08/04/2023 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3674767.44,519359.77
1124 St Charles Ave Apt 2B,1124 St Charles Ave Apt 2B,Short Term Rental Commercial Owner,1,2,07/22/2023 11:59:59 PM,"(29.941553355964, -90.0732799291885)",3679906.11,526431.88
3917 Elysian Fields Ave,3917 Elysian Fields Ave,Short Term Rental Residential Owner,2,4,01/16/2024 03:19:00 PM,"(29.9983460195327, -90.0587087901549)",3684291.03,547134.85
2037 Independence St,2037 Independence St,Short Term Rental Residential Owner,2,4,01/03/2024 11:59:59 PM,"(29.9762493346283, -90.0349284095692)",3691908.98,539184.18
1309 St Anthony St,1309 St Anthony St,Short Term Rental Residential Owner,1,2,07/28/2023 11:59:59 PM,"(29.9695456048789, -90.0615639211484)",3683503.57,536651.88
7322 Hickory St,7322 Hickory St,Short Term Rental Residential Owner,1,2,07/31/2023 11:59:59 PM,"(29.9476032003921, -90.1205877466746)",3664900.49,528470.17
7445 Dominican St,7445 Dominican St,Short Term Rental Residential Owner,3,6,03/01/2023 12:00:00 AM,"(29.9376340327424, -90.1303348862722)",3661851.82,524812.46
"1523 Robert C Blakes, SR Dr A","1523 Robert C Blakes, SR Dr A",Short Term Rental Commercial Owner,2,4,01/03/2024 11:59:59 PM,"(29.9393764471433, -90.0772246546014)",3678665.5,525626.56
4853 Tchoupitoulas St,4853 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,03/24/2023 11:59:59 PM,"(29.9167336138687, -90.1072363155933)",3669248.74,517289.84
1018 Third St,1018 Third St,Short Term Rental Residential Owner,2,4,07/31/2023 11:59:59 PM,"(29.9265628642372, -90.0806012997907)",3677647.04,520955.37
2427 Iberville St,2427 Iberville St,Short Term Rental Residential Owner,2,4,07/31/2023 11:59:59 PM,"(29.9647071287253, -90.0837190697134)",3676508.23,534815.25
5444 Durham Dr,5444 Durham Dr,Short Term Rental Residential Owner,5,10,05/16/2023 11:59:59 PM,"(29.920072176059, -89.9966939616468)",3704251.78,518895.44
22 Fontainebleau Dr B,22 Fontainebleau Dr B,Short Term Rental Residential Owner,3,6,01/03/2024 11:59:59 PM,"(29.956189905906, -90.1175887313706)",3665817.09,531602.69
6112 Chestnut St,6112 Chestnut St,Short Term Rental Residential Owner,3,6,01/04/2024 11:59:59 PM,"(29.9244832572604, -90.1230919673597)",3664196.25,520054.5
2048 Florida Ave,2048 Florida Ave,Short Term Rental Residential Owner,2,4,08/18/2023 11:59:59 PM,"(29.9861617021688, -90.0616040310795)",3683423.81,542693.98
1829 Pauline St,1829 Pauline St,Short Term Rental Residential Owner,2,4,08/01/2023 11:59:59 PM,"(29.9738228497284, -90.0347754014366)",3691967.42,538302.37
643 S Tonti St,643 S Tonti St,Short Term Rental Commercial Owner,5,10,08/03/2023 11:59:59 PM,"(29.9583625598951, -90.0885457662594)",3675005.04,532491.49
11424 Maxine Dr,11424 Maxine Dr,Short Term Rental Residential Owner,4,8,01/03/2024 11:59:59 PM,"(30.034527843951, -89.9494355660831)",3718718.83,560693.09
113 S Salcedo St,113 S Salcedo St,Short Term Rental Residential Owner,1,2,08/02/2023 11:59:59 PM,"(29.9679277329307, -90.0917975505273)",3673937.69,535958.58
1324 Franklin Ave,1324 Franklin Ave,Short Term Rental Commercial Owner,2,4,10/12/2023 11:59:59 PM,"(29.9714859874128, -90.0497140180421)",3687247.45,537399.31
1324 Clouet St,1324 Clouet St,Short Term Rental Residential Owner,2,4,08/30/2023 02:31:01 PM,"(29.9701288262259, -90.0435586485958)",3689201.81,536927.68
4025 Pitt St,4025 Pitt St,Short Term Rental Residential Owner,1,2,10/18/2023 01:11:27 PM,"(29.926099690717, -90.0981144822989)",3672101.62,520726.72
6221 Magazine St,6221 Magazine St,Short Term Rental Residential Owner,2,4,01/16/2023 04:56:00 PM,"(29.9235318310612, -90.1249244266097)",3663619.46,519702.4
1104 Music St,1104 Music St,Short Term Rental Commercial Owner,5,10,11/24/2023 11:59:59 PM,"(29.9693531951858, -90.0511408496887)",3686804.39,536618.69
5644 Vermillion Blvd,5644 Vermillion Blvd,Short Term Rental Residential Owner,4,8,01/19/2023 11:50:04 AM,"(30.0162919931327, -90.0622848639933)",3683086.75,553648.14
1806 Oretha Castle Haley Blvd,1806 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,03/15/2023 11:59:59 PM,"(29.9387652695717, -90.0807590426233)",3677548.57,525392.06
620 N Pierce St,620 N Pierce St,Short Term Rental Commercial Owner,3,4,08/04/2023 11:59:59 PM,"(29.9779385551837, -90.095514601558)",3672721.49,539586.17
2009 Elysian Fields Ave,2009 Elysian Fields Ave,Short Term Rental Residential Owner,2,4,10/09/2023 10:59:09 AM,"(29.9779717900254, -90.0572560413245)",3684833.36,539731.12
833 Baronne St Apt 3A,833 Baronne St Apt 3A,Short Term Rental Commercial Owner,4,8,10/10/2023 11:59:59 PM,"(29.9457580045404, -90.0746858892747)",3679444.05,527955.95
1006 Race St,1006 Race St,Short Term Rental Commercial Owner,5,10,08/17/2023 11:59:59 PM,"(29.9341057406729, -90.0715577293161)",3680481.35,523729.66
2021 Seventh St,2021 Seventh St,Short Term Rental Residential Owner,2,4,01/02/2024 11:59:59 PM,"(29.9335370928672, -90.0908290464855)",3674379.94,523456.18
1722 Clio St,1722 Clio St,Short Term Rental Residential Owner,2,4,01/02/2024 11:59:59 PM,"(29.9422497506241, -90.0756091821487)",3679165.66,526677.01
628 Baronne St Apt 204,628 Baronne St Apt 204,Short Term Rental Commercial Owner,2,4,11/13/2023 11:59:59 PM,"(29.948233870762, -90.0734232796303)",3679834,528860.66
334 Carondelet St Unit 204,334 Carondelet St Unit 204,Short Term Rental Commercial Owner,1,2,08/25/2023 11:59:59 PM,"(29.9509843209015, -90.0713097830678)",3680492.28,529868.19
1666 N Claiborne Ave,1666 N Claiborne Ave,Short Term Rental Commercial Owner,4,8,11/14/2023 11:59:59 PM,"(29.9727775594953, -90.0638881425463)",3682754.68,537818.98
2221 Delachaise St,2221 Delachaise St,Short Term Rental Residential Owner,2,4,02/16/2023 11:59:59 PM,"(29.9338620251326, -90.0952765532294)",3672970.03,523559.09
1429 N Claiborne Ave Apt J,1429 N Claiborne Ave Apt J,Short Term Rental Commercial Owner,2,4,11/15/2023 11:59:59 PM,"(29.9703181280963, -90.0686491535333)",3681257.22,536907.97
301 Magazine St Apt 201,301 Magazine St Apt 201,Short Term Rental Commercial Owner,2,4,11/17/2023 11:59:59 PM,"(29.9504303913347, -90.0678512564408)",3681589.71,529678.84
4431 Tchoupitoulas St,4431 Tchoupitoulas St,Short Term Rental Commercial Owner,4,8,03/21/2023 11:59:59 PM,"(29.9171698388745, -90.102039474674)",3670893.28,517466.12
337 Morgan St Apt B,337 Morgan St Apt B,Short Term Rental Commercial Owner,,,03/22/2023 11:59:59 PM,"(29.9545222352273, -90.0528494476073)",3686323.7,531219.56
1515 Calliope St Apt 201,1515 Calliope St Apt 201,Short Term Rental Commercial Owner,3,6,10/07/2023 11:59:59 PM,"(29.9419771752916, -90.0721996382078)",3680246.54,526589.76
CASA PELICAN LLC,712 PELICAN ST,4703 - BED & BREAKFAST INNS,,,,,,
1648 N Tonti St,1648 N Tonti St,Short Term Rental Residential Owner,2,4,09/29/2023 05:38:54 PM,"(29.977808200394, -90.0709160097594)",3680509.51,539623.73
4108 Laurel St,4108 Laurel St,Short Term Rental Residential Owner,3,6,08/01/2023 11:59:59 PM,"(29.9189090638201, -90.098101877847)",3672133.8,518111.99
1316 Frenchmen St,1316 Frenchmen St,Short Term Rental Residential Owner,1,2,11/14/2023 11:59:59 PM,"(29.9709216323911, -90.0584303483362)",3684490.12,537163.28
2709 Dryades St,2709 Dryades St,Short Term Rental Residential Owner,4,8,07/24/2023 08:26:51 AM,"(29.93386308623, -90.0873379043232)",3675484.38,523586.73
1824 Carondelet St Apt 102,1824 Carondelet St Apt 102,Short Term Rental Commercial Owner,4,8,01/04/2024 11:59:59 PM,"(29.93678907815, -90.0790055197401)",3678111.79,524679.52
1812 Carondelet St Unit 3,1812 Carondelet St Unit 3,Short Term Rental Commercial Owner,3,6,01/03/2024 11:59:59 PM,"(29.9368330672728, -90.0788169103925)",3678171.35,524696.17
4851 Tchoupitoulas St,4851 Tchoupitoulas St,Short Term Rental Commercial Owner,,,03/24/2023 11:59:59 PM,"(29.9167399094097, -90.1071918538681)",3669262.8,517292.28
2363 N Villere St,2363 N Villere St,Short Term Rental Residential Owner,1,2,10/25/2023 03:53:59 PM,"(29.9719262377724, -90.0529637740574)",3686216.78,537547.89
3125 Toulouse St,3125 Toulouse St,Short Term Rental Residential Owner,2,4,10/23/2023 08:40:42 AM,"(29.9726291155319, -90.08829371808)",3675028.48,537680.22
6212 Spain St,6212 Spain St,Short Term Rental Residential Owner,1,2,11/17/2023 11:59:59 PM,"(30.0227777172931, -90.0577233309152)",3684504.04,556022.65
2036 Magazine St Apt 2,2036 Magazine St Apt 2,Short Term Rental Commercial Owner,3,6,03/20/2023 11:59:59 PM,"(29.9304079415996, -90.0752783544609)",3679317.71,522372.05
1126 Independence St,1126 Independence St,Short Term Rental Residential Owner,1,2,09/18/2023 09:04:06 AM,"(29.9669955208242, -90.0379380795209)",3690994.2,535808.37
301 Magazine St Apt 304,301 Magazine St Apt 304,Short Term Rental Commercial Owner,2,4,11/17/2023 11:59:59 PM,"(29.9504686358772, -90.0678961814974)",3681575.33,529692.59
3314 Carondelet St Unit A,3314 Carondelet St Unit A,Short Term Rental Residential Owner,1,2,09/11/2023 09:24:51 AM,"(29.9294552567188, -90.0910868791865)",3674314.37,521970.99
2249 St Claude Ave,2249 St Claude Ave,Short Term Rental Commercial Owner,3,6,11/14/2023 11:59:59 PM,"(29.9689363252531, -90.0551921852486)",3685523.39,536452.77
8120 Jeannette St,8120 Jeannette St,Short Term Rental Commercial Owner,1,2,03/24/2023 11:59:59 PM,"(29.9497416421647, -90.1280336736565)",3662534.33,529222.91
423 Alabo St Apt A,423 Alabo St Apt A,Short Term Rental Residential Owner,3,6,08/17/2023 11:59:59 PM,"(29.9542079683087, -90.0149498649133)",3698326.14,531241.38
4855 Tchoupitoulas St,4855 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,03/24/2023 11:59:59 PM,"(29.9167322670229, -90.1072835892031)",3669233.77,517289.19
ROYAL RESIDENCE,2613 ROYAL ST,8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMS,,,,"(29.9648157302048, -90.0509601334773)",3686880.07241,534969.340806
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1,2,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
4110 Piedmont Dr,4110 Piedmont Dr,Short Term Rental Residential Owner,1,2,05/04/2023 11:59:59 PM,"(30.0000069456629, -90.0565938054072)",3684953.73,547746.28
3927 Eagle St,3927 Eagle St,Short Term Rental Residential Owner,1,2,06/29/2023 11:59:59 PM,"(29.9718858107843, -90.1142422770472)",3666816.03,537321.59
3412 Prytania St,3412 Prytania St,Short Term Rental Commercial Owner,4,8,05/04/2023 11:59:59 PM,"(29.9266152071781, -90.0911872950686)",3674293.76,520937.9
2260 St Claude Ave,2260 St Claude Ave,Short Term Rental Commercial Owner,5,10,05/04/2023 11:59:59 PM,"(29.9685699212186, -90.0549520686664)",3685600.9,536320.38
517 Port St Apt 2A,517 Port St Apt 2A,Short Term Rental Commercial Owner,1,2,04/29/2023 11:59:59 PM,"(29.9633860900035, -90.0507036831149)",3686967.09,534450.38
1345 Franklin Ave,1345 Franklin Ave,Short Term Rental Commercial Owner,3,6,05/04/2023 11:59:59 PM,"(29.9718178231718, -90.0491496120162)",3687424.79,537521.98
504 David St,504 David St,Short Term Rental Commercial Owner,5,10,04/06/2023 11:59:59 PM,"(29.9782538601549, -90.0981101065092)",3671898.56,539691.96
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1,2,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
428 Opelousas Ave,428 Opelousas Ave,Short Term Rental Commercial Owner,2,4,05/04/2023 11:59:59 PM,"(29.9489492606497, -90.0513173889839)",3686831.51,529198.45
2558 Prentiss Ave,2558 Prentiss Ave,Short Term Rental Residential Owner,2,4,06/27/2023 11:59:59 PM,"(30.0170322943235, -90.0521619283327)",3686287.25,553953.02
503 N Salcedo St,503 N Salcedo St,Short Term Rental Commercial Owner,3,6,01/15/2023 11:59:59 PM,"(29.9717418191606, -90.0883823650299)",3675003.92,537357.26
2130 Laurel St,2130 Laurel St,Short Term Rental Commercial Owner,2,4,05/03/2023 11:59:59 PM,"(29.9281209496619, -90.0749614416878)",3679427.22,521541.52
2224 Marais St Apt 1A,2224 Marais St Apt 1A,Short Term Rental Residential Owner,2,4,07/18/2023 11:59:59 PM,"(29.9694938929712, -90.0559802498644)",3685271.62,536652.74
135 N Clark St,135 N Clark St,Short Term Rental Commercial Owner,3,6,06/30/2023 11:59:59 PM,"(29.9716928287293, -90.0945446966911)",3673053.1,537318.3
828 Girod St Apt 501,828 Girod St Apt 501,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9477354491475, -90.0733157664513)",3679870.04,528679.79
828 Girod St Apt 304,828 Girod St Apt 304,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9476942196287, -90.0733724638612)",3679852.25,528664.6
828 Girod St Apt 603,828 Girod St Apt 603,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9477025588808, -90.0733099925197)",3679872,528667.85
828 Girod St Apt 303,828 Girod St Apt 303,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9477103063624, -90.0733695134786)",3679853.12,528670.46
2628 Elder St,2628 Elder St,Short Term Rental Residential Owner,2,4,05/09/2023 11:59:59 PM,"(29.9944806941943, -90.0487248151332)",3687466.89,545764.56
7810 Spruce St,7810 Spruce St,Short Term Rental Residential Owner,2,4,09/15/2023 10:18:59 AM,"(29.9510940706386, -90.1215591215645)",3664579.45,529736.33
828 Girod St Apt 503,828 Girod St Apt 503,Short Term Rental Commercial Owner,3,6,05/11/2023 11:59:59 PM,"(29.9477068959041, -90.0733263897616)",3679866.79,528669.37
HILTON NEW ORLEANS/ ST CHARLES AVENUE,200 SPECTRUM CENTER DR,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,,
1109 Erato St,1109 Erato St,Short Term Rental Residential Owner,1,2,05/24/2023 11:59:59 PM,"(29.939463194785, -90.0712777753281)",3680548.56,525678.8
710 Baronne St Apt 203,710 Baronne St Apt 203,Short Term Rental Commercial Owner,2,4,05/12/2023 11:59:59 PM,"(29.9475972158368, -90.0736498673357)",3679764.79,528628.36
326 S Broad St,326 S Broad St,Short Term Rental Commercial Owner,5,10,05/09/2023 11:59:59 PM,"(29.9631901668855, -90.0891507912107)",3674794.4,534244.91
1918 Louisiana Ave,1918 Louisiana Ave,Short Term Rental Commercial Owner,4,8,09/27/2023 11:59:59 PM,"(29.9313999632472, -90.0931785068193)",3673644.22,522670.98
710 Baronne St Apt 205,710 Baronne St Apt 205,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9475885418686, -90.0736170728614)",3679775.21,528625.32
828 Girod St Apt 305,828 Girod St Apt 305,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9476757799916, -90.0733795490573)",3679850.08,528657.87
710 Baronne St Apt 202,710 Baronne St Apt 202,Short Term Rental Commercial Owner,3,6,05/12/2023 11:59:59 PM,"(29.9476027218736, -90.0736648603982)",3679760.02,528630.31
